Statistic,Actual Returns,Black-Scholes,IG-OU,BNS
Sample Size,1364,681,1364,1364
Range,1.145,Infinity,0.16570027678450794,1.0431135149106099
Mean,-0.0021577000531532472,-Infinity,0.0006498127436922795,-0.01647750321516943
Variance,0.007511910993404731,,0.0006660286664501,0.026488612407865555
Std. Deviation,0.08667128124935462,,0.02580753119634073,0.16275322549143398
Coef. of Variation,-40.168364051664106,,39.71533560530163,-9.877298967333898
Std. Error,0.002346756511484951,,0.0006987780843589939,0.004406790648315762
Skewness,0.9271079567817543,,-0.015504585509839009,0.04939300249475192
Excess Kurtosis,7.056102297296667,,-0.006571221385784476,-0.0983947718034095
