Statistic,Actual Returns,Black-Scholes,IG-OU,BNS
Sample Size,4762,1561,4762,4762
Range,0.8828421484282774,Infinity,0.08835456426229589,0.7006350211076573
Mean,-0.001156734997323914,-Infinity,0.000007895723138881332,-0.007084789169189552
Variance,0.0017509481564394413,,0.00011392727420367845,0.010241835467012185
Std. Deviation,0.041844332429128814,,0.01067367201124704,0.10120195386953844
Coef. of Variation,-36.17451925111192,,1351.8295694394483,-14.284398794765433
Std. Error,0.0006063759221943946,,0.00015467465564141566,0.0014665409756375357
Skewness,1.7766790251225115,,-0.03794192923802488,0.010653211664675071
Excess Kurtosis,22.100126882045444,,0.20716128799830624,-0.04675955835255596
